Date Price
19651231 528.69
19660103 527.21
19660104 527.84
19660105 531.12
19660106 532.07
19660107 532.6
19660110 533.87
19660111 534.29
19660112 533.34
19660113 534.4
19660114 535.45
19660117 537.46
19660118 538.94
19660119 537.67
19660120 535.67
19660121 535.98
19660124 537.67
19660125 538.1
19660126 537.57
19660127 537.36
19660128 535.67
19660131 533.34
19660201 529.11
19660202 531.44
19660203 532.07
19660204 535.45
19660207 537.25
19660208 536.83
19660209 539.89
19660210 538.41
19660211 538.31
19660214 537.78
19660215 535.45
19660216 535.35
19660217 532.49
19660218 531.44
19660221 528.26
19660223 525.94
19660224 522.45
19660225 523.93
19660228 524.56
19660301 517.9
19660302 512.83
19660303 514.94
19660304 513.35
19660307 506.38
19660308 506.9
19660309 511.13
19660310 511.24
19660311 510.82
19660314 504.9
19660315 501.51
19660316 504.26
19660317 505.85
19660318 508.28
19660321 512.19
19660322 513.67
19660323 511.98
19660324 512.72
19660325 513.99
19660328 514.94
19660329 512.83
19660330 508.6
19660331 511.45
19660401 515.58
19660404 520.23
19660405 523.51
19660406 524.88
19660407 525.94
19660411 525.73
19660412 524.14
19660413 524.35
19660414 525.41
19660415 526.36
19660418 524.25
19660419 524.56
19660420 527.42
19660421 529.11
19660422 528.05
19660425 527.52
19660426 526.15
19660427 524.35
19660428 521.18
19660429 521.18
19660502 520.54
19660503 514.73
19660504 511.98
19660505 503.1
19660506 502.15
19660509 493.48
19660510 497.71
19660511 498.55
19660512 492.42
19660513 487.34
19660516 480.89
19660517 476.45
19660518 485.55
19660519 484.81
19660520 487.13
19660523 491.47
19660524 494.85
19660525 496.75
19660526 496.75
19660527 498.45
19660531 491.68
19660601 491.78
19660602 491.47
19660603 492.1
19660606 488.61
19660607 485.12
19660608 485.86
19660609 489.35
19660610 494.64
19660613 496.97
19660614 498.66
19660615 496.75
19660616 495.59
19660617 495.7
19660620 495.49
19660621 497.28
19660622 498.23
19660623 496.23
19660624 496.44
19660627 493.37
19660628 491.04
19660629 486.18
19660630 485.44
19660701 490.2
19660705 491.04
19660706 497.92
19660707 499.71
19660708 500.56
19660711 499.82
19660712 497.28
19660713 494.22
19660714 497.07
19660715 498.55
19660718 498.02
19660719 494.43
19660720 489.99
19660721 489.88
19660722 489.46
19660725 480.26
19660726 479.1
19660727 481.53
19660728 479.73
19660729 478.88
19660801 471.59
19660802 471.48
19660803 476.14
19660804 480.47
19660805 481.1
19660808 479.84
19660809 478.78
19660810 476.66
19660811 476.24
19660812 477.4
19660815 475.08
19660816 468.94
19660817 466.2
19660818 460.27
19660819 456.89
19660822 448.75
19660823 448.22
19660824 453.51
19660825 447.8
19660826 437.86
19660829 426.33
19660830 433.42
19660831 440.4
19660901 443.46
19660902 442.09
19660906 439.66
19660907 435.74
19660908 434.26
19660909 435.64
19660912 444.84
19660913 447.37
19660914 451.5
19660915 456.26
19660916 456.15
19660919 454.04
19660920 450.97
19660921 443.36
19660922 444.31
19660923 443.04
19660926 444.1
19660927 445.37
19660928 440.08
19660929 435.32
19660930 436.7
19661003 427.39
19661004 427.92
19661005 425.49
19661006 421.36
19661007 416.29
19661010 423.48
19661011 425.7
19661012 437.22
19661013 437.01
19661014 435.74
19661017 440.61
19661018 447.8
19661019 444.52
19661020 443.25
19661021 444.84
19661024 446
19661025 448.43
19661026 452.45
19661027 456.26
19661028 456.47
19661031 456.36
19661101 459.85
19661102 460.38
19661103 458.79
19661104 460.27
19661107 460.17
19661109 463.76
19661110 466.83
19661111 467.25
19661114 464.4
19661115 466.09
19661116 470.11
19661117 466.94
19661118 464.08
19661121 457.63
19661122 455.52
19661123 458.9
19661125 462.6
19661128 462.18
19661129 460.59
19661130 460.91
19661201 459.11
19661202 459.32
19661205 459.75
19661206 462.92
19661207 467.57
19661208 469.47
19661209 470.53
